"lon" "lat" "w.dist" "w.lon" "w.lat" "ID" "temp" "rain" "tpi" "slope" "aspect"
"1" 11.1958333333333 48.3541666666667 4368.15646456337 11.210916588496 48.3161926891583 1966 81 876 0.875 0.27278005603121 8
"2" 9.65416666666667 50.2541666666667 772.70942679872 9.65212486797209 50.2609841847407 1775 85 685 0.875 5.46197903520861 1
"3" 11.9458333333333 48.1291666666667 7460.29841668459 12.0456390929668 48.1353073964718 1982 77 934 0.125 0.432547568969321 8
"6" 9.69583333333333 50.1958333333333 4780.80523570909 9.6376845165013 50.1744296775152 1808 86 674 -46.5 2.66621313429689 4
"7" 11.2458333333333 49.2625 4557.57095450409 11.3084439946403 49.2620010823496 1864 84 693 -3.5 0.872616841907178 6
"9" 12.6791666666667 49.3458333333333 2840.1172362875 12.6444168224113 49.3575286794089 1860 67 762 23.875 4.40143185082172 7
"10" 11.3791666666667 49.7208333333333 6254.78129209012 11.4115830000231 49.7729988920639 1840 74 745 18.25 0.466638141434757 3
"11" 13.3125 48.7291666666667 7398.45347842271 13.3996115255026 48.7624436321213 1897 79 932 -13.375 0.621525334516639 7
"12" 10.2958333333333 50.2458333333333 3893.58607119386 10.2414533798952 50.2421018532189 1790 84 617 -7.25 0.930868575873887 2
"13" 13.2875 48.9041666666667 5243.58298729456 13.3584994877556 48.9098891533869 1897 67 960 -24.75 3.42821858986577 6
"17" 10.4458333333333 49.8708333333333 3678.5885913665 10.4791945524022 49.8959159922872 500 83 665 -52.75 3.61735826185182 7
"18" 13.2041666666667 48.6125 1762.96218852561 13.2163940521543 48.6261189450282 1917 84 932 14.375 2.07519193040794 8
"21" 11.4791666666667 50.4125 567.922710315042 11.4846213817593 50.4087658353069 1754 61 816 1.625 1.61685334041175 5
"22" 12.8791666666667 47.6208333333333 3057.5864040496 12.9115552927631 47.6374740043168 2098 65 1229 -31.75 8.39438808088146 6
"23" 10.4375 47.6875 5951.18116166136 10.509805749703 47.6655845425113 2119 62 1048 -2.375 0.434800740638387 4
"24" 9.50416666666667 50.0875 2933.71278573187 9.46374986225178 50.091915048616 1816 82 766 -33.75 3.63982467608396 7
"25" 11.7291666666667 49.6125 3430.78509229391 11.7721109103434 49.5993613716854 1866 80 666 -18.25 0.712160011708746 1
"27" 13.1791666666667 48.5791666666667 4083.90437879011 13.1608527704161 48.6137959863394 1912 81 962 23.75 1.26544353178353 3
"29" 9.80416666666667 50.3791666666667 6018.58010024561 9.88302804706861 50.3595847979904 1775 77 761 -52.25 2.98850746692432 6
"30" 11.3458333333333 49.6541666666667 11356.7732895354 11.4709167175445 49.5923347293868 1857 75 735 -3.625 1.93142082904167 3
"32" 10.5208333333333 48.5291666666667 4397.68548230465 10.5100002307112 48.5680542888609 1919 85 767 -1.125 0.0260694239223811 8
"33" 11.5541666666667 48.6041666666667 7956.53826897964 11.4690552564654 48.6481666672652 1981 81 785 -0.375 1.1904262825278 3
"34" 12.4458333333333 49.5291666666667 7672.44163412604 12.3772496240582 49.5817794569383 1851 66 726 -16.125 3.02241197168353 2
"36" 12.4291666666667 49.8791666666667 5182.41629488501 12.3577499262296 49.8727759653039 1835 65 679 13.25 2.11767579620716 1
"38" 9.5125 49.8291666666667 4529.6222783513 9.4976940746942 49.7895851547688 1842 89 711 -1.75 2.50527318094922 6
"40" 12.0291666666667 48.0125 2070.0432270544 12.0262145114659 47.9940096858792 2039 80 950 11 1.57085755378399 4
"41" 12.3791666666667 49.0791666666667 3033.12186215866 12.4049721452363 49.0578041506724 1875 72 770 -13.5 1.62720110140595 1
"43" 12.3125 47.9625 6984.16048690294 12.4049443622351 47.953029551726 2021 76 1010 11.375 0.491878260526629 6
"44" 10.4375 48.2208333333333 995.75959395667 10.4490907699598 48.2163197881999 2005 77 884 22.625 2.07447444343559 3
"47" 10.6708333333333 48.0541666666667 1716.61172829923 10.6486163751198 48.0583233211915 2014 79 937 6.375 0.465289252431639 7
"48" 12.4708333333333 48.1458333333333 5115.22979766484 12.4598883655699 48.191249886849 1975 79 978 0.25 0.305105012665673 1
"49" 11.8708333333333 48.1291666666667 10959.6813399823 11.7913609391615 48.2121657617378 1971 79 925 -1.5 0.278114663179069 1
"50" 12.6375 49.3125 4525.73748828034 12.6012497875769 49.3455848239014 1860 71 730 -17.375 4.02229118999763 7
"52" 12.4375 49.5541666666667 4886.56522557105 12.4130001095774 49.5951118955048 1851 68 698 -6 0.938232487093624 8
"53" 11.5291666666667 48.5791666666667 8122.37118943186 11.4283055317337 48.6084709955784 1981 80 797 -1 1.0742815664279 3
"54" 11.2708333333333 47.7208333333333 4353.66005226961 11.2755279422416 47.6818047122006 2086 78 998 15.75 2.8601968604463 1
"55" 12.8291666666667 47.6291666666667 6124.31729755729 12.7750101579607 47.6703365697133 2095 19 1379 100.25 11.6334636541145 2
"56" 12.5041666666667 49.1208333333333 4540.12102329015 12.4844723526146 49.0821114417053 1870 67 805 49 1.68224706657159 5
"58" 11.2875 47.8291666666667 2028.88589070636 11.2622775296785 47.8224983971792 2051 83 966 -5.5 1.19773981967235 3
"59" 11.3291666666667 47.5541666666667 1932.80281447714 11.3425560390899 47.5393332931464 2140 55 1046 82.25 5.5626435893697 1
"61" 11.9791666666667 49.1291666666667 2254.25872801036 11.9517478614005 49.1385601159998 1873 81 678 -3.875 0.727408694629564 6
"62" 12.6375 47.6791666666667 742.06991195135 12.647305498534 47.6800003291239 2096 41 1237 NA NA NA
"63" 11.0291666666667 49.1291666666667 1121.99302041832 11.0151662561778 49.133335168882 645 84 707 -12.875 1.55549806495471 8
"65" 12.0041666666667 47.6458333333333 310.56981327459 12.0083052671733 47.6459300329388 2101 58 1045 26.625 11.590545231655 3
"66" 9.6125 50.1375 2779.37827793873 9.65140192957498 50.138799276113 1808 82 748 39.375 1.67312581343726 2
"67" 10.5708333333333 48.5291666666667 4597.34598534929 10.6273337036972 48.5118332124719 1983 85 771 -18.25 2.08533649261536 8
"68" 13.1208333333333 48.9208333333333 5395.4469950125 13.1113328372524 48.9689444738964 1881 69 924 -14.875 3.75697070074238 7
"69" 10.5375 49.9708333333333 3665.07032387393 10.5503606154263 50.0027236768259 1815 85 624 -5.125 2.55756567704375 2
