x,y,species cloglog values
1.0,1.0,0.17134283
2.0,2.0,0.45894217
3.0,3.0,0.4029883
4.0,4.0,0.5119367
5.0,5.0,0.49865142
6.0,6.0,0.3166288
7.0,7.0,0.40802854
8.0,8.0,0.35801104
9.0,9.0,0.843015
10.0,10.0,0.022255078
11.0,11.0,0.7509026
12.0,12.0,0.44213134
13.0,13.0,0.83154774
14.0,14.0,0.087590545
15.0,15.0,0.0012865738
16.0,16.0,0.6117613
17.0,17.0,0.8614555
18.0,18.0,0.00740487
19.0,19.0,0.009122594
20.0,20.0,0.19498913
21.0,21.0,0.7128333
22.0,22.0,0.0883543
23.0,23.0,0.7788
24.0,24.0,0.57194877
25.0,25.0,0.7721772
26.0,26.0,0.20064323
27.0,27.0,0.030115532
28.0,28.0,0.010918966
29.0,29.0,0.111998014
30.0,30.0,0.4584061
31.0,31.0,0.46210063
32.0,32.0,0.6749161
33.0,33.0,0.2726535
34.0,34.0,0.41376567
35.0,35.0,0.733042
36.0,36.0,0.20126748
37.0,37.0,0.1853665
38.0,38.0,0.27819473
39.0,39.0,0.68554705
40.0,40.0,0.5964508
41.0,41.0,0.70534205
42.0,42.0,0.64467186
43.0,43.0,0.06237278
44.0,44.0,0.45278174
45.0,45.0,0.6976845
46.0,46.0,0.54398894
47.0,47.0,0.49958065
48.0,48.0,0.29424542
49.0,49.0,0.73410845
50.0,50.0,0.59867597
51.0,51.0,0.080157176
52.0,52.0,0.41534835
53.0,53.0,0.68145937
54.0,54.0,0.6463744
55.0,55.0,0.5092506
56.0,56.0,0.2237092
57.0,57.0,0.27421176
58.0,58.0,0.3960757
59.0,59.0,0.7838145
60.0,60.0,0.6623524
61.0,61.0,0.53344434
62.0,62.0,0.40366063
63.0,63.0,0.27368808
64.0,64.0,0.45811406
65.0,65.0,0.0680396
66.0,66.0,0.55309635
67.0,67.0,0.33548957
68.0,68.0,0.7595372
69.0,69.0,0.6933896
70.0,70.0,0.38722908
71.0,71.0,0.08144243
72.0,72.0,0.70140576
73.0,73.0,0.020735223
74.0,74.0,0.21789984
75.0,75.0,0.24405402
76.0,76.0,0.10475598
77.0,77.0,0.5102756
78.0,78.0,0.58432424
79.0,79.0,0.62890303
80.0,80.0,0.7481066
81.0,81.0,0.1085181
82.0,82.0,0.42111248
83.0,83.0,0.11384295
84.0,84.0,0.07853068
85.0,85.0,0.44277984
86.0,86.0,0.36498946
87.0,87.0,0.7864903
88.0,88.0,0.8073275
89.0,89.0,0.63348305
90.0,90.0,0.69997793
91.0,91.0,0.29560232
92.0,92.0,0.24584015
93.0,93.0,0.048566975
94.0,94.0,0.46095613
95.0,95.0,0.42986706
96.0,96.0,0.55082667
97.0,97.0,0.19878061
98.0,98.0,0.133043
99.0,99.0,0.7677087
100.0,100.0,0.73487455
101.0,101.0,0.43944433
102.0,102.0,0.6614911
103.0,103.0,0.47265896
104.0,104.0,0.7472452
105.0,105.0,0.014255697
106.0,106.0,0.28581804
107.0,107.0,0.12031418
108.0,108.0,0.5874029
109.0,109.0,0.09299805
110.0,110.0,0.3924792
111.0,111.0,0.46713173
112.0,112.0,0.0019169397
113.0,113.0,0.12915833
114.0,114.0,0.19694375
115.0,115.0,0.57349956
116.0,116.0,0.3978952
117.0,117.0,0.5933516
118.0,118.0,0.6351792
119.0,119.0,0.6193964
120.0,120.0,0.42279568
121.0,121.0,0.0026313555
122.0,122.0,0.66962314
123.0,123.0,0.4759211
124.0,124.0,0.44249758
125.0,125.0,0.57186747
126.0,126.0,0.503693
127.0,127.0,0.6643642
128.0,128.0,0.060227193
129.0,129.0,0.57770026
130.0,130.0,0.51369965
131.0,131.0,0.013532362
132.0,132.0,0.69056576
133.0,133.0,0.5728761
134.0,134.0,0.39997876
135.0,135.0,0.694514
136.0,136.0,0.71057594
137.0,137.0,0.61061645
138.0,138.0,0.6095087
139.0,139.0,0.6228151
140.0,140.0,0.5701645
141.0,141.0,0.49765015
142.0,142.0,0.47036716
143.0,143.0,0.08044278
144.0,144.0,0.74052584
145.0,145.0,0.2700221
146.0,146.0,0.4248301
147.0,147.0,0.3634511
148.0,148.0,0.19100927
149.0,149.0,0.43142715
150.0,150.0,0.6811373
151.0,151.0,0.24463181
152.0,152.0,0.35479945
153.0,153.0,0.8325925
154.0,154.0,0.6362396
155.0,155.0,0.65140533
156.0,156.0,0.5450128
157.0,157.0,0.22745742
158.0,158.0,0.50161666
159.0,159.0,0.42180938
160.0,160.0,0.4818278
161.0,161.0,0.57973945
162.0,162.0,0.21458307
163.0,163.0,0.6468731
164.0,164.0,0.008697185
165.0,165.0,0.7176555
166.0,166.0,0.30023646
167.0,167.0,0.40244785
168.0,168.0,0.53449315
169.0,169.0,0.3348603
170.0,170.0,0.6286501
171.0,171.0,0.5292354
172.0,172.0,0.261499
173.0,173.0,0.13556118
174.0,174.0,0.08341471
175.0,175.0,0.39168864
176.0,176.0,0.09937874
177.0,177.0,0.34910393
178.0,178.0,0.61569583
179.0,179.0,0.631726
180.0,180.0,0.1496701
181.0,181.0,0.43236843
182.0,182.0,0.5917132
183.0,183.0,0.20695557
184.0,184.0,0.6163048
185.0,185.0,0.38782346
186.0,186.0,0.568749
187.0,187.0,0.72542685
188.0,188.0,0.5484232
189.0,189.0,0.49599352
190.0,190.0,0.60961705
191.0,191.0,0.45957682
192.0,192.0,0.52207017
193.0,193.0,0.7564509
194.0,194.0,0.41434526
195.0,195.0,0.46283546
196.0,196.0,0.79003215
197.0,197.0,0.06360048
198.0,198.0,0.19731623
199.0,199.0,0.36036736
200.0,200.0,0.43164602
201.0,201.0,0.4421996
202.0,202.0,0.5552341
203.0,203.0,0.76706225
204.0,204.0,0.43435788
205.0,205.0,0.31936252
206.0,206.0,0.32788056
207.0,207.0,0.5619083
208.0,208.0,0.4790861
209.0,209.0,0.022516895
210.0,210.0,0.22972375
211.0,211.0,0.23351347
212.0,212.0,0.30174387
213.0,213.0,0.3908817
214.0,214.0,0.5828121
215.0,215.0,0.0024890113
216.0,216.0,0.52801025
217.0,217.0,0.10981469
218.0,218.0,0.38431773
219.0,219.0,0.66870844
220.0,220.0,0.38837308
221.0,221.0,0.090437025
222.0,222.0,0.2723535
223.0,223.0,0.038175642
224.0,224.0,0.5748823
225.0,225.0,0.67189676
226.0,226.0,0.32610804
227.0,227.0,0.70289916
228.0,228.0,0.32481116
229.0,229.0,0.11161339
230.0,230.0,0.6172875
231.0,231.0,0.4990896
232.0,232.0,0.013346951
233.0,233.0,0.46006963
234.0,234.0,0.42200762
235.0,235.0,0.34608155
236.0,236.0,0.35349852
237.0,237.0,0.3879472
238.0,238.0,0.72286075
239.0,239.0,0.3740748
240.0,240.0,0.403717
241.0,241.0,0.60553896
242.0,242.0,0.45401686
243.0,243.0,0.39746127
244.0,244.0,0.63204217
245.0,245.0,0.43810502
246.0,246.0,0.5297584
247.0,247.0,0.45526987
248.0,248.0,0.8106801
249.0,249.0,0.58665985
250.0,250.0,0.56618243
251.0,251.0,0.6091285
252.0,252.0,0.4278008
253.0,253.0,0.633912
254.0,254.0,0.50275445
255.0,255.0,0.008326094
256.0,256.0,0.54621214
257.0,257.0,0.22145095
258.0,258.0,0.2323605
259.0,259.0,0.56041396
260.0,260.0,0.64158213
261.0,261.0,0.119431034
262.0,262.0,0.56803876
263.0,263.0,0.0088036
264.0,264.0,0.23638201
265.0,265.0,0.2764467
266.0,266.0,0.5183839
267.0,267.0,0.009463012
268.0,268.0,0.60743535
269.0,269.0,0.0758371
270.0,270.0,0.06486208
271.0,271.0,0.48024464
272.0,272.0,0.020449791
273.0,273.0,0.47038057
274.0,274.0,0.61742103
275.0,275.0,0.5294491
276.0,276.0,0.6137873
277.0,277.0,0.12484649
278.0,278.0,0.16143829
279.0,279.0,0.41308618
280.0,280.0,0.6744045
281.0,281.0,0.27122614
282.0,282.0,0.4528647
283.0,283.0,0.5195797
284.0,284.0,0.7257067
285.0,285.0,0.12959917
286.0,286.0,0.34150857
287.0,287.0,0.55858463
288.0,288.0,0.5415318
289.0,289.0,0.6726097
290.0,290.0,0.30474323
291.0,291.0,0.102358915
292.0,292.0,0.708424
293.0,293.0,0.5994055
294.0,294.0,0.42212498
295.0,295.0,0.11402598
296.0,296.0,0.3877897
297.0,297.0,0.6315567
298.0,298.0,0.43025374
299.0,299.0,0.54875743
300.0,300.0,0.08709097
301.0,301.0,0.3043625
302.0,302.0,0.6951146
303.0,303.0,0.64596194
304.0,304.0,0.599345
305.0,305.0,0.36567327
306.0,306.0,0.04499738
307.0,307.0,0.38327157
308.0,308.0,0.70724624
309.0,309.0,0.73946905
310.0,310.0,0.47411206
311.0,311.0,0.075857125
312.0,312.0,0.6562372
313.0,313.0,0.44983274
314.0,314.0,0.68961465
315.0,315.0,0.45732567
316.0,316.0,0.5856225
317.0,317.0,0.18345574
318.0,318.0,0.58891726
319.0,319.0,0.56117845
320.0,320.0,0.4267242
321.0,321.0,0.5688677
322.0,322.0,0.6685066
323.0,323.0,0.63518155
324.0,324.0,0.5618075
325.0,325.0,0.53974
326.0,326.0,0.46216768
327.0,327.0,0.53672117
328.0,328.0,0.4546582
329.0,329.0,0.58719164
330.0,330.0,0.7302036
331.0,331.0,0.34299806
332.0,332.0,0.6595402
333.0,333.0,0.09942053
