Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.64378E-8,0.000008644,0.000793022,1,0,0
8.86496E-8,0.000017509,0.000813306,0.99990763,0,0
9.35212E-8,0.000026861,0.000857981,0.99981526,0,0
1.07112E-7,0.0000577,0.000982606,0.999538149,0,0
1.27898E-7,0.000106816,0.001173179,0.999168668,0,0
1.65414E-7,0.000253848,0.001517043,0.998244966,0,0
2.30582E-7,0.000521308,0.00211407,0.997044153,0,0
2.92368E-7,0.001020572,0.002679794,0.995289119,0,0
4.40786E-7,0.002501324,0.004037416,0.99150194,0,0
6.31171E-7,0.005049789,0.005776222,0.987068169,0,0
1.16715E-6,0.01006679,0.010655121,0.981525956,0,0
2.26395E-6,0.025190934,0.020564386,0.973120266,0,0
3.82468E-6,0.050278908,0.034494433,0.965268797,0.00045403,0
6.19466E-6,0.100549311,0.055269276,0.955847035,0.000908059,0
8.67179E-6,0.200862019,0.076505773,0.943469425,0.001362089,0
1.09372E-5,0.300424711,0.095509136,0.934047663,0.001589103,0
1.29418E-5,0.400299391,0.111998013,0.926288565,0.001816118,0
1.52907E-5,0.500167611,0.130937042,0.919730279,0.002043133,0
1.75217E-5,0.601320622,0.148551332,0.914003325,0.002270148,0
1.92728E-5,0.70042655,0.162126773,0.909015333,0.002951192,0
2.02277E-5,0.751734254,0.169437949,0.906613708,0.003178207,0
2.10175E-5,0.801247332,0.17543633,0.904396822,0.003632236,0
2.26924E-5,0.902057023,0.188014974,0.900147792,0.004086266,0
2.39273E-5,1.000401184,0.197166582,0.896268243,0.005221339,0
2.53781E-5,1.101862249,0.207786004,0.892481064,0.006356413,0
2.65363E-5,1.200902899,0.216162663,0.888970996,0.007264472,0
2.7913E-5,1.301888727,0.22600416,0.885553298,0.007718502,0
2.92874E-5,1.401899681,0.235706756,0.88232034,0.008626561,0
3.02179E-5,1.502848329,0.242206199,0.879179752,0.00908059,0
3.23889E-5,1.750627042,0.257156041,0.871882505,0.010442679,0
3.44283E-5,2.000781797,0.270930973,0.864954739,0.013166856,0
3.64483E-5,2.252599563,0.284323455,0.858396453,0.016345062,0
3.79812E-5,2.502162112,0.294322104,0.852207648,0.018842225,0
3.91869E-5,2.75284632,0.302087922,0.846203584,0.021339387,0
4.03797E-5,3.003122605,0.3096867,0.84038426,0.023836549,0
4.16853E-5,3.253218268,0.317909595,0.834749677,0.026787741,0
4.28258E-5,3.502662603,0.325012134,0.829299834,0.029511918,0
4.38631E-5,3.753953779,0.331407971,0.823942361,0.032236095,0
4.49871E-5,4.002978912,0.338269871,0.818769629,0.035187287,0
4.61132E-5,4.253798671,0.345073674,0.813689267,0.03723042,0
4.70185E-5,4.500724908,0.350493031,0.808793645,0.040181612,0
4.77496E-5,4.752311541,0.354836469,0.803898023,0.041770715,0
4.85653E-5,5.002300976,0.359648469,0.799094772,0.044267877,0
4.9282E-5,5.251897752,0.363846879,0.794383891,0.04676504,0
4.99099E-5,5.504752688,0.367502874,0.789673009,0.048808173,0
5.08018E-5,5.751415562,0.372658976,0.785146869,0.051986379,0
5.17249E-5,6.002520881,0.377951506,0.780620728,0.053575482,0
5.26479E-5,6.252882707,0.383198934,0.776186957,0.056526674,0
5.34678E-5,6.502304867,0.387823451,0.771845557,0.059477866,0
5.42331E-5,6.750022178,0.392108104,0.767596527,0.061748014,0
5.49807E-5,7.001226001,0.396265008,0.763347497,0.065153235,0
5.55546E-5,7.255509461,0.399436777,0.759098467,0.066742338,0
5.62009E-5,7.501241337,0.402988323,0.755034177,0.069466515,0
