X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,7.905541588272437E-5,18.967185847730782,0.5159564982321084
2.0,2.0,train,1.1195521955533254E-4,43.899741492627896,0.6421133670304922
3.0,3.0,train,9.278926341566565E-5,28.229541667561307,0.5732818130439676
4.0,4.0,train,5.184957809133755E-5,6.036339553382951,0.37866315089062375
5.0,5.0,train,1.1740948347599597E-4,48.64425076538226,0.6595881010115661
6.0,6.0,train,8.724689965958236E-5,24.028867932783502,0.5510137249202155
7.0,7.0,train,9.232583611590223E-5,27.85180648029384,0.5714629471484559
8.0,8.0,train,1.332265202400937E-4,61.84693532008514,0.7055863916229022
9.0,9.0,train,1.0871458538097539E-4,40.952156454779754,0.6313088821798751
10.0,10.0,train,9.28026803600069E-5,28.23934795477418,0.5733343569076437
11.0,11.0,train,8.873684342407972E-5,24.94660352904287,0.5571117728625867
12.0,12.0,train,8.752590893324304E-5,24.192746510827707,0.5521620100179339
13.0,13.0,train,7.941251730751877E-5,19.263353262899173,0.517540364244621
14.0,14.0,train,1.3238045350457266E-4,61.124173330154115,0.703291280174494
15.0,15.0,train,1.323808816109892E-4,61.12450069874439,0.7032924460043326
16.0,16.0,train,1.3657378752914725E-4,64.42684283727854,0.7144937352381344
17.0,17.0,train,1.293173598714859E-4,58.679343834185,0.6948314115899937
18.0,18.0,train,1.1692228417565676E-4,48.25599954939049,0.6580625149459336
19.0,19.0,train,1.0460205302379462E-4,37.64632131028813,0.6171265369699745
20.0,20.0,train,1.1465213934544088E-4,46.34292452788638,0.6508632772014126
21.0,21.0,train,1.1824797794707683E-4,49.34954432829909,0.6621977906235216
22.0,22.0,train,1.0017981067651872E-4,34.22178993661012,0.6012668307887035
23.0,23.0,train,1.1549901503665218E-4,47.000174846558274,0.6535665037065903
24.0,24.0,train,1.3065626026181507E-4,59.791518977014455,0.6985585572686713
25.0,25.0,train,1.2813001540219976E-4,57.77694794062346,0.6914876210315152
26.0,26.0,train,1.0218866710542292E-4,35.60141183342993,0.6085511291859587
27.0,27.0,train,1.0764884942433347E-4,39.8747617990922,0.6276848502580832
28.0,28.0,train,9.604305132491604E-5,30.837147695847484,0.5858367833857072
29.0,29.0,train,1.023931444834758E-4,35.78118232558406,0.6092850797769767
