x,y,species cloglog values
1.0,1.0,0.04796619
2.0,2.0,0.23765483
3.0,3.0,0.0078864265
4.0,4.0,0.28183553
5.0,5.0,0.39643145
6.0,6.0,0.09731776
7.0,7.0,0.3271395
8.0,8.0,0.12163389
9.0,9.0,0.55435485
10.0,10.0,0.11661237
11.0,11.0,0.49965656
12.0,12.0,0.050215643
13.0,13.0,0.5608437
14.0,14.0,0.42779878
15.0,15.0,0.33302346
16.0,16.0,0.1332099
17.0,17.0,0.03513696
18.0,18.0,0.41348258
19.0,19.0,0.61233073
20.0,20.0,0.65051013
21.0,21.0,0.088513516
22.0,22.0,0.6695147
23.0,23.0,0.14352846
24.0,24.0,0.51403207
25.0,25.0,0.55449325
26.0,26.0,0.6592151
27.0,27.0,0.36214137
28.0,28.0,0.18018444
29.0,29.0,0.14005809
30.0,30.0,0.5697545
31.0,31.0,0.5289971
32.0,32.0,0.22732727
33.0,33.0,0.23005387
34.0,34.0,0.18339834
35.0,35.0,0.26454574
36.0,36.0,0.5251208
37.0,37.0,0.44525552
38.0,38.0,0.5405265
39.0,39.0,0.27037433
40.0,40.0,0.43239343
41.0,41.0,0.27677435
42.0,42.0,0.0031631049
43.0,43.0,0.18180534
44.0,44.0,0.03919649
45.0,45.0,0.35343686
46.0,46.0,0.5149272
47.0,47.0,0.10820547
48.0,48.0,0.2954781
49.0,49.0,0.597192
50.0,50.0,0.5802841
51.0,51.0,0.25942987
52.0,52.0,0.5260196
53.0,53.0,0.13169265
54.0,54.0,0.52047855
55.0,55.0,0.071984105
56.0,56.0,0.32727352
57.0,57.0,0.47419947
58.0,58.0,0.09099071
59.0,59.0,0.256916
60.0,60.0,0.24785174
61.0,61.0,0.6392208
62.0,62.0,0.21896207
63.0,63.0,0.58159804
64.0,64.0,0.6273677
65.0,65.0,0.18061516
66.0,66.0,0.6339652
67.0,67.0,0.4528893
68.0,68.0,0.42798525
69.0,69.0,0.20480184
70.0,70.0,0.35663927
71.0,71.0,0.46143347
72.0,72.0,0.56423384
73.0,73.0,0.56023973
74.0,74.0,0.45987323
75.0,75.0,0.054909356
76.0,76.0,0.18297268
77.0,77.0,0.006280342
78.0,78.0,0.39700183
79.0,79.0,0.00813425
80.0,80.0,0.023524415
81.0,81.0,0.06594338
82.0,82.0,0.008341644
83.0,83.0,0.65206033
84.0,84.0,0.23867424
85.0,85.0,0.68348503
86.0,86.0,0.1661846
87.0,87.0,0.36651736
88.0,88.0,0.022569215
89.0,89.0,0.12093771
90.0,90.0,0.06439461
91.0,91.0,0.04438322
92.0,92.0,0.6892673
93.0,93.0,0.080733836
94.0,94.0,0.66853297
95.0,95.0,0.35472164
96.0,96.0,0.63228536
97.0,97.0,0.1979206
98.0,98.0,0.25717273
99.0,99.0,0.40276423
100.0,100.0,0.42426178
101.0,101.0,0.004515996
102.0,102.0,0.44060028
103.0,103.0,0.56253314
104.0,104.0,0.61601514
105.0,105.0,0.64561146
106.0,106.0,0.35970092
107.0,107.0,0.41331172
108.0,108.0,0.8469016
109.0,109.0,0.5247777
110.0,110.0,0.6236179
111.0,111.0,0.46543434
112.0,112.0,0.67616963
113.0,113.0,0.49693716
114.0,114.0,0.54577607
115.0,115.0,0.5603654
116.0,116.0,0.6868119
117.0,117.0,0.038155872
118.0,118.0,0.28677943
119.0,119.0,0.58989143
120.0,120.0,0.33962786
121.0,121.0,0.6698605
122.0,122.0,0.35218173
123.0,123.0,0.18353648
124.0,124.0,0.32233298
125.0,125.0,0.15537658
126.0,126.0,0.8493738
127.0,127.0,0.21417715
128.0,128.0,0.67501163
129.0,129.0,0.18131201
130.0,130.0,0.0065560793
131.0,131.0,0.324328
132.0,132.0,0.62396735
133.0,133.0,0.2194952
134.0,134.0,0.47582692
135.0,135.0,0.80477333
136.0,136.0,0.10222102
137.0,137.0,0.014313457
138.0,138.0,0.13209265
139.0,139.0,0.44355896
140.0,140.0,0.15829237
141.0,141.0,0.6340935
142.0,142.0,0.21708278
143.0,143.0,0.3225867
144.0,144.0,0.5655922
145.0,145.0,0.61573625
146.0,146.0,0.59141994
147.0,147.0,0.10169477
148.0,148.0,0.21854894
149.0,149.0,0.2787732
150.0,150.0,0.19493987
151.0,151.0,0.27636665
152.0,152.0,0.29078868
153.0,153.0,0.21947561
154.0,154.0,0.08799704
155.0,155.0,0.42571187
156.0,156.0,0.12610056
157.0,157.0,0.5823374
158.0,158.0,0.6744935
159.0,159.0,0.028155735
160.0,160.0,0.15315722
161.0,161.0,0.32357496
162.0,162.0,0.3396147
163.0,163.0,0.48147407
164.0,164.0,0.36379284
165.0,165.0,0.061215192
166.0,166.0,0.26064396
167.0,167.0,0.4446467
168.0,168.0,0.5272956
169.0,169.0,0.17982045
170.0,170.0,0.54192173
171.0,171.0,0.008689429
172.0,172.0,0.2519505
173.0,173.0,0.68972474
174.0,174.0,0.3726706
175.0,175.0,0.10047266
176.0,176.0,0.10289128
177.0,177.0,0.6635204
178.0,178.0,0.40266836
179.0,179.0,0.06759556
180.0,180.0,0.35826677
181.0,181.0,0.0036068305
182.0,182.0,0.06817835
183.0,183.0,0.53052795
184.0,184.0,0.2540929
185.0,185.0,0.2808916
186.0,186.0,0.6954164
187.0,187.0,0.083304994
188.0,188.0,0.6183524
189.0,189.0,0.5105108
190.0,190.0,0.5628937
191.0,191.0,0.66899806
192.0,192.0,0.6784507
193.0,193.0,0.4234148
194.0,194.0,0.5076113
195.0,195.0,0.70151997
196.0,196.0,0.4764998
197.0,197.0,0.5391361
198.0,198.0,0.6674329
199.0,199.0,0.3808878
200.0,200.0,0.007952329
201.0,201.0,0.30067098
202.0,202.0,0.42910865
203.0,203.0,0.54477084
204.0,204.0,0.7405561
205.0,205.0,0.40456152
206.0,206.0,0.101439126
207.0,207.0,0.34484944
208.0,208.0,0.29197323
209.0,209.0,0.61750084
210.0,210.0,0.4785197
211.0,211.0,0.657992
212.0,212.0,0.5780316
213.0,213.0,0.40237996
214.0,214.0,0.70542175
215.0,215.0,0.81768084
216.0,216.0,0.76302034
217.0,217.0,0.5292982
218.0,218.0,0.5350958
219.0,219.0,0.2862904
220.0,220.0,0.5554593
221.0,221.0,0.51947075
222.0,222.0,0.11874018
223.0,223.0,0.19238709
224.0,224.0,0.043161698
225.0,225.0,0.54112834
226.0,226.0,0.24546593
227.0,227.0,0.54996234
228.0,228.0,0.49993408
229.0,229.0,0.70820045
230.0,230.0,0.5512591
231.0,231.0,0.23302066
232.0,232.0,0.0046886187
233.0,233.0,0.47856805
234.0,234.0,0.5568649
235.0,235.0,0.021765143
236.0,236.0,0.72232497
