Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.44519E-7,0.000024452,0.001478685,1,0,0
2.8799E-7,0.000053251,0.001741338,0.999869247,0,0
3.09796E-7,0.000114226,0.001873066,0.999607741,0,0
4.01437E-7,0.000262017,0.002426466,0.999084728,0,0
4.79185E-7,0.000539862,0.002895729,0.998300209,0,0
6.01128E-7,0.001042259,0.003631297,0.997123431,0,0
8.08092E-7,0.002571806,0.004878469,0.994246862,0,0
1.04006E-6,0.005009239,0.006274474,0.99084728,0,0
1.36623E-6,0.010078847,0.008234049,0.985355649,0,0
2.23953E-6,0.025179047,0.013461748,0.974372385,0.000318573,0
4.12276E-6,0.050258328,0.024641434,0.96417364,0.000955718,0
6.4754E-6,0.100500524,0.038429882,0.952013598,0.000955718,0
9.31815E-6,0.200620497,0.054831058,0.93540795,0.001592864,0
1.21634E-5,0.300343289,0.070966557,0.923247908,0.002548582,0
1.49309E-5,0.400217974,0.086396657,0.913572176,0.003185728,0
1.71843E-5,0.500768824,0.098771013,0.905334728,0.003185728,0
1.90502E-5,0.60055241,0.108890598,0.898143305,0.003822874,0
2.09415E-5,0.700741305,0.119031973,0.891605649,0.004141446,0
2.19631E-5,0.750305825,0.124461611,0.888598326,0.004778592,0
2.2764E-5,0.801778827,0.128695096,0.885591004,0.00573431,0
2.44824E-5,0.900884746,0.13770893,0.880099372,0.00573431,0
2.56176E-5,1.001054807,0.143612935,0.874869247,0.006690029,0
2.68268E-5,1.101033652,0.149856931,0.869900628,0.008601465,0
2.81857E-5,1.200539537,0.156819625,0.865193515,0.009557184,0
2.96624E-5,1.302024977,0.16432126,0.860617155,0.010512902,0
3.09781E-5,1.402145891,0.170948745,0.856302301,0.012105766,0
3.22597E-5,1.500095923,0.177353856,0.852248954,0.013061485,0
3.49668E-5,1.752541384,0.190721608,0.842442469,0.01592864,0
3.73685E-5,2.002141767,0.202398728,0.833420502,0.017840076,0
3.9694E-5,2.252042733,0.213545269,0.824921548,0.019114368,0
4.16914E-5,2.500310323,0.22299479,0.816945607,0.020070086,0
4.4012E-5,2.753718672,0.233830445,0.809231172,0.021981523,0
4.57224E-5,3.001015906,0.241720315,0.802039749,0.025485824,0
4.74037E-5,3.252805918,0.249396417,0.794979079,0.026441542,0
4.93738E-5,3.504219911,0.25829264,0.788179916,0.027078687,0
5.11579E-5,3.750858484,0.266257689,0.781773013,0.030264415,0
5.31756E-5,4.001605836,0.275162501,0.775496862,0.034405862,0
5.45869E-5,4.255164544,0.281327167,0.769351464,0.036317299,0
5.58321E-5,4.503942592,0.286722296,0.763467573,0.040140172,0
5.7053E-5,4.752364806,0.291973229,0.757714435,0.042051609,0
5.84278E-5,5.001041856,0.297839449,0.75209205,0.044281618,0
5.94347E-5,5.254554279,0.302105358,0.746469665,0.047148773,0
6.08673E-5,5.501239648,0.308129601,0.741108787,0.049697356,0
6.22395E-5,5.753907406,0.313851504,0.735747908,0.051927365,0
6.36031E-5,6.005780711,0.319490361,0.730517782,0.055113093,0
6.4782E-5,6.256067362,0.32432802,0.72541841,0.055750239,0
6.61087E-5,6.504669922,0.329731326,0.720449791,0.05925454,0
6.72155E-5,6.751379653,0.334205806,0.715611925,0.062440268,0
6.85805E-5,7.002872919,0.339683076,0.710774059,0.065307423,0
6.96923E-5,7.252250467,0.344111212,0.706066946,0.066900287,0
7.08987E-5,7.505139959,0.348882017,0.701359833,0.068493151,0
7.21154E-5,7.755734946,0.353658698,0.696783473,0.072316024,0
7.32603E-5,8.003088155,0.358121762,0.692337866,0.073590315,0
7.46913E-5,8.254288529,0.363656434,0.687892259,0.075501752,0
7.61858E-5,8.503412042,0.369385716,0.683577406,0.078050335,0
7.75549E-5,8.757015485,0.374589122,0.679262552,0.081236062,0
7.88087E-5,9.007322018,0.379316709,0.675078452,0.082828926,0
8.03135E-5,9.254263491,0.384943451,0.671025105,0.085058936,0
8.17618E-5,9.505426255,0.390310955,0.666971757,0.0866518,0
8.28333E-5,9.752157228,0.394251519,0.663049163,0.088244664,0
8.35853E-5,10.00158438,0.397001832,0.659126569,0.090156101,0
8.46946E-5,10.254192191,0.40103646,0.655203975,0.093341829,0
8.59021E-5,10.501562631,0.405397426,0.651412134,0.094934693,0
8.70139E-5,10.752014638,0.409384888,0.647620293,0.097164702,0
8.82404E-5,11.006328485,0.413752422,0.643828452,0.098757566,0
8.95094E-5,11.255094727,0.418237424,0.640167364,0.101624721,0
9.06127E-5,11.507223685,0.422108994,0.636506276,0.105129022,0
9.18339E-5,11.753653474,0.426364013,0.632975941,0.106721886,0
9.28342E-5,12.003228989,0.42982616,0.629445607,0.109589041,0
9.39462E-5,12.255759044,0.433650429,0.625915272,0.112137623,0
9.48131E-5,12.501122108,0.436613569,0.62251569,0.115323351,0
9.62495E-5,12.759250976,0.441489756,0.618985356,0.117553361,0
9.69198E-5,13.000773898,0.443750805,0.615716527,0.120739089,0
9.76179E-5,13.253733854,0.446095886,0.612316946,0.121376234,0
9.87303E-5,13.509119059,0.449812303,0.608917364,0.124561962,0
9.95436E-5,13.756851172,0.452513609,0.605648536,0.126473399,0
1.00924E-4,14.007589845,0.457068726,0.602379707,0.127429118,0
1.01788E-4,14.250850833,0.459900989,0.599241632,0.129021982,0
1.02623E-4,14.506355186,0.462623169,0.595972803,0.130933418,0
1.03567E-4,14.753778313,0.465684603,0.592834728,0.132844855,0
1.04493E-4,15.003526964,0.468667882,0.589696653,0.135393437,0
1.05124E-4,15.254945879,0.470695943,0.586558577,0.13794202,0
1.05763E-4,15.5080586,0.472737545,0.583420502,0.140809175,0
1.06577E-4,15.752318544,0.475328553,0.58041318,0.142720612,0
1.07788E-4,16.009704114,0.479157961,0.577275105,0.145269194,0
1.08431E-4,16.2584701,0.48118285,0.574267782,0.148136349,0
1.08924E-4,16.508428389,0.482728266,0.57126046,0.151322077,0
1.09759E-4,16.759920274,0.485334971,0.568253138,0.153233514,0
1.10683E-4,17.002443454,0.488204286,0.565376569,0.155144951,0
1.1182E-4,17.258551178,0.491714192,0.562369247,0.156737815,0
1.12922E-4,17.505805344,0.49509388,0.559492678,0.15960497,0
1.13537E-4,17.754977139,0.496968076,0.556616109,0.162472125,0
1.14382E-4,18.005652881,0.499534866,0.55373954,0.165976426,0
1.14972E-4,18.257917141,0.501319186,0.550862971,0.168843581,0
1.15808E-4,18.500238149,0.503835816,0.548117155,0.169162154,0
1.16992E-4,18.756311002,0.507376579,0.545240586,0.172029309,0
1.17576E-4,19.002624108,0.509115655,0.54249477,0.174577891,0
1.18653E-4,19.250761949,0.51230477,0.539748954,0.176489328,0
1.19305E-4,19.500652773,0.514225079,0.537003138,0.178719337,0
1.19857E-4,19.751793165,0.51584608,0.534257322,0.180630774,0
1.20664E-4,20.004469824,0.518204072,0.531511506,0.181905065,0
1.2113E-4,20.258358617,0.519560219,0.52876569,0.18477222,0
1.21811E-4,20.501389531,0.521537056,0.526150628,0.187320803,0
1.22503E-4,20.757928906,0.523535588,0.523404812,0.18923224,0
1.23079E-4,21.00357851,0.525193261,0.520789749,0.190187958,0
1.23766E-4,21.250476564,0.527164595,0.518174686,0.193055113,0
1.24408E-4,21.511067954,0.528997136,0.51542887,0.196240841,0
1.25036E-4,21.76043074,0.530784187,0.512813808,0.198470851,0
