x,y,species cloglog values
1.0,1.0,0.07387967
2.0,2.0,0.26904336
3.0,3.0,0.5352733
4.0,4.0,0.03159705
5.0,5.0,0.0077822623
6.0,6.0,0.5556625
7.0,7.0,0.04507828
8.0,8.0,0.3799331
9.0,9.0,0.53329813
10.0,10.0,0.29078695
11.0,11.0,0.21300542
12.0,12.0,0.45522708
13.0,13.0,0.12653826
14.0,14.0,0.18942139
15.0,15.0,0.4487942
16.0,16.0,0.6179289
17.0,17.0,0.7202265
18.0,18.0,0.7753393
19.0,19.0,0.49892822
20.0,20.0,0.04420724
21.0,21.0,0.010504818
22.0,22.0,0.14590041
23.0,23.0,0.5718736
24.0,24.0,0.15036258
25.0,25.0,0.2551461
26.0,26.0,0.61460376
27.0,27.0,0.6160497
28.0,28.0,0.48629516
29.0,29.0,0.67188716
30.0,30.0,0.3254013
31.0,31.0,0.24886729
32.0,32.0,0.22174083
33.0,33.0,0.4653241
34.0,34.0,0.5705125
35.0,35.0,0.049548794
36.0,36.0,0.046431247
37.0,37.0,0.62138146
38.0,38.0,0.037510946
39.0,39.0,0.536009
40.0,40.0,0.13109095
41.0,41.0,0.13706607
42.0,42.0,0.11108935
43.0,43.0,0.41196176
44.0,44.0,0.53891945
45.0,45.0,0.1632275
46.0,46.0,0.60528535
47.0,47.0,0.2793997
48.0,48.0,0.69268805
49.0,49.0,0.32941225
50.0,50.0,0.13307323
51.0,51.0,0.03385697
52.0,52.0,0.2841224
53.0,53.0,0.089272276
54.0,54.0,0.19879289
55.0,55.0,0.05983168
56.0,56.0,0.5288995
57.0,57.0,0.02307354
58.0,58.0,0.33566642
59.0,59.0,0.42941922
60.0,60.0,0.006131598
61.0,61.0,0.696879
62.0,62.0,0.19287808
63.0,63.0,0.026751228
64.0,64.0,0.582024
65.0,65.0,0.30491418
66.0,66.0,0.59117746
67.0,67.0,0.014196894
68.0,68.0,0.06483727
69.0,69.0,0.033590306
70.0,70.0,0.0015864961
71.0,71.0,0.18681924
72.0,72.0,0.16249065
73.0,73.0,0.0026017418
74.0,74.0,0.28380767
75.0,75.0,0.050763134
76.0,76.0,0.6988052
77.0,77.0,0.016768267
78.0,78.0,0.27014047
79.0,79.0,0.34785223
80.0,80.0,0.19487765
81.0,81.0,0.07476296
82.0,82.0,0.014911775
83.0,83.0,0.09357809
84.0,84.0,0.07553823
85.0,85.0,0.19588095
86.0,86.0,0.39694217
87.0,87.0,0.66087925
88.0,88.0,0.18134397
89.0,89.0,0.5392868
90.0,90.0,0.118047886
91.0,91.0,0.3403463
92.0,92.0,0.09702739
93.0,93.0,0.6854933
94.0,94.0,0.6166321
95.0,95.0,0.20507045
96.0,96.0,0.22261873
97.0,97.0,0.18141808
98.0,98.0,0.38999933
99.0,99.0,0.38550937
100.0,100.0,0.13508481
101.0,101.0,0.41016245
102.0,102.0,0.4085432
103.0,103.0,0.50976026
104.0,104.0,0.1889774
105.0,105.0,0.1326861
106.0,106.0,0.6604733
107.0,107.0,0.49652717
108.0,108.0,0.7176068
109.0,109.0,0.6534124
110.0,110.0,0.008331467
111.0,111.0,0.002334923
112.0,112.0,0.39789048
113.0,113.0,0.28505135
114.0,114.0,0.42878622
115.0,115.0,0.0034074099
116.0,116.0,0.23901692
117.0,117.0,0.01371899
118.0,118.0,0.5542649
119.0,119.0,0.6689696
120.0,120.0,0.0055212597
121.0,121.0,0.41384763
122.0,122.0,0.41328585
123.0,123.0,0.2613815
124.0,124.0,0.27476886
125.0,125.0,0.44964975
126.0,126.0,0.5528791
127.0,127.0,0.14960012
128.0,128.0,0.20237924
129.0,129.0,0.598352
130.0,130.0,0.35215303
131.0,131.0,0.09604099
132.0,132.0,0.49520773
133.0,133.0,0.6627477
134.0,134.0,0.41995206
135.0,135.0,0.24954589
136.0,136.0,0.113531105
137.0,137.0,0.227705
138.0,138.0,0.70228285
139.0,139.0,0.12746626
140.0,140.0,0.6017556
141.0,141.0,0.009127679
142.0,142.0,0.33334142
143.0,143.0,0.0095463125
144.0,144.0,0.6329646
145.0,145.0,0.7193505
146.0,146.0,0.68868
147.0,147.0,0.36165825
148.0,148.0,0.26757106
149.0,149.0,0.7404688
150.0,150.0,0.40957916
151.0,151.0,0.6449285
152.0,152.0,0.0064524934
153.0,153.0,0.07318024
154.0,154.0,0.34203035
155.0,155.0,0.13206491
156.0,156.0,0.61161613
157.0,157.0,0.6322992
158.0,158.0,0.52351546
159.0,159.0,0.4463141
160.0,160.0,0.08521451
161.0,161.0,0.86050683
162.0,162.0,0.39292145
163.0,163.0,0.008818918
164.0,164.0,0.58038545
165.0,165.0,0.34156033
166.0,166.0,0.19540527
167.0,167.0,0.42608225
168.0,168.0,0.07470681
169.0,169.0,0.6537426
170.0,170.0,0.5105007
171.0,171.0,0.5373754
172.0,172.0,0.2923431
