Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.02785E-6,0.000202785,0.0009514,1,0,0
3.38259E-6,0.000541044,0.001586496,0.998355263,0,0
4.98019E-6,0.001039063,0.002334923,0.996710526,0,0
5.55004E-6,0.00262902,0.002601742,0.991776316,0,0
7.27162E-6,0.005310928,0.00340741,0.985197368,0,0
1.17952E-5,0.011065461,0.005521259,0.975328947,0,0
2.04354E-5,0.026186751,0.009546314,0.960526316,0,0
3.60264E-5,0.051639812,0.016768265,0.945723684,0,0
7.27911E-5,0.105929712,0.033590307,0.929276316,0,0
1.10988E-4,0.206904766,0.050763132,0.911184211,0,0
1.41173E-4,0.31028995,0.064117591,0.898026316,0,0
1.65416E-4,0.405146686,0.074706801,0.888157895,0,0
1.89748E-4,0.511236833,0.085214508,0.878289474,0,0
2.17438E-4,0.616628242,0.097027388,0.870065789,0,0
2.50353E-4,0.711331304,0.110871409,0.863486842,0,0
2.56736E-4,0.76209243,0.1135311,0.860197368,0,0
2.76546E-4,0.816508847,0.121735837,0.856907895,0,0
2.90492E-4,0.903223331,0.127466256,0.851973684,0,0
3.03275E-4,1.023329584,0.132686087,0.845394737,0,0
3.14061E-4,1.116075801,0.137066062,0.840460526,0,0
3.45232E-4,1.217710297,0.149600126,0.835526316,0,0
3.63389E-4,1.32488891,0.156817053,0.830592105,0,0
3.77773E-4,1.436945502,0.162490656,0.825657895,0,0
3.96924E-4,1.514602693,0.169985634,0.822368421,0,0
4.30475E-4,1.769712129,0.182954777,0.8125,0.003367003,0
4.47404E-4,2.03408319,0.18942138,0.802631579,0.003367003,0
4.61793E-4,2.262318413,0.194877639,0.794407895,0.003367003,0
4.77485E-4,2.544247039,0.200786357,0.784539474,0.003367003,0
5.10309E-4,2.788339858,0.213005424,0.776315789,0.003367003,0
5.45355E-4,3.001777721,0.225846046,0.769736842,0.003367003,0
5.93916E-4,3.286806104,0.243292499,0.761513158,0.003367003,0
6.22725E-4,3.531182138,0.253456223,0.754934211,0.003367003,0
6.45462E-4,3.783630245,0.261381496,0.748355263,0.003367003,0
6.67677E-4,4.04770449,0.269043344,0.741776316,0.003367003,0
6.8443E-4,4.250557281,0.27476885,0.736842105,0.003367003,0
7.12086E-4,4.531899935,0.284122393,0.730263158,0.003367003,0
7.17291E-4,4.818038162,0.285869336,0.723684211,0.003367003,0
7.34953E-4,5.037656951,0.291765265,0.71875,0.003367003,0
7.55766E-4,5.260749353,0.298650837,0.713815789,0.01010101,0
7.74877E-4,5.569518437,0.304914172,0.707236842,0.016835017,0
8.29937E-4,5.814302935,0.322647954,0.702302632,0.023569024,0
8.57027E-4,6.068998953,0.331206774,0.697368421,0.026936027,0
8.63838E-4,6.327966405,0.333341431,0.692434211,0.033670034,0
8.79732E-4,6.503067735,0.338296519,0.689144737,0.033670034,0
8.91788E-4,6.769907342,0.342030361,0.684210526,0.033670034,0
9.23004E-4,7.045201661,0.35160094,0.679276316,0.033670034,0
9.56308E-4,7.3275797,0.361658246,0.674342105,0.033670034,0
